0,48.3984,44.119,4.44187,6.37447
1,48.3925,44.1324,3.9764,6.37524
2,47.9099,44.1082,4.69542,6.43946
3,47.6581,44.1376,5.11951,6.47349
5,46.9453,44.1473,3.77485,6.57177
8,46.7872,44.1473,3.68338,6.59399
9,46.525,44.1847,3.43379,6.63114
12,46.2595,44.1538,2.94696,6.6692
13,45.9524,44.1559,2.71537,6.71378
14,45.8329,44.1538,2.9008,6.73127
18,45.5532,44.1391,1.728,6.77261
23,45.2903,44.1227,1.55394,6.81192
28,45.274,44.1416,1.05643,6.81438
36,45.1514,44.1221,0.69613,6.83288
43,45.0853,44.1222,0.449838,6.84289
44,44.9969,44.1037,0.879409,6.85633
50,44.7024,44.118,0.453918,6.90151
56,44.7021,44.1737,0.342357,6.90156
59,44.6021,44.1725,0.326586,6.91702
62,44.4558,44.171,0.254891,6.93978
84,44.4226,44.171,0.199385,6.94497
127,44.4223,44.1701,0.15451,6.94502
132,44.3923,44.0136,0.295219,6.94971
141,44.3603,44.0136,0.265364,6.95474
151,44.3414,44.0136,0.226416,6.95769
160,44.1458,44.0171,0.0968395,6.98852
172,44.1363,44.0171,0.0942542,6.99003
175,44.1277,44.0068,0.0966341,6.99139
215,44.1139,43.7481,0.497592,6.99358
222,44.1125,43.7423,0.429092,6.9938
226,44.1054,43.7423,0.272999,6.99492
250,44.0695,43.7541,0.28479,7.00063
252,43.9681,43.7243,0.213963,7.01676
265,43.9466,43.7234,0.168965,7.02019
318,43.9033,43.7258,0.122295,7.02712
325,43.881,43.7228,0.161803,7.03069
400,43.8668,43.7211,0.0855137,7.03297
429,43.8649,43.7211,0.0848111,7.03328
465,43.8624,43.7211,0.0839628,7.03368
635,43.8548,43.7108,0.0898664,7.03489
718,43.8521,43.7108,0.080947,7.03533
731,43.8368,43.7002,0.0850897,7.03779
790,43.8343,43.7065,0.099076,7.03819
893,43.8263,43.7065,0.090842,7.03947
1021,43.8259,43.7054,0.101446,7.03953
1074,43.817,43.7054,0.0806888,7.04097
1244,43.8075,43.6976,0.0808702,7.0425
1308,43.8041,43.6976,0.0795964,7.04304
1437,43.7795,43.6976,0.0675584,7.04699
1619,43.7527,43.4411,0.431808,7.05132
1630,43.7338,43.438,0.249451,7.05436
1654,43.6963,43.4389,0.175577,7.06042
1684,43.6756,43.4328,0.117527,7.06375
1695,43.617,43.4328,0.190319,7.07325
1726,43.586,43.4357,0.134932,7.07827
1787,43.5832,43.4357,0.0823064,7.07874
1869,43.5538,43.4365,0.0933137,7.08351
2018,43.5181,43.3809,0.0689463,7.08933
2075,43.5181,43.3697,0.108965,7.08933
2162,43.4974,43.3833,0.123655,7.0927
2193,43.473,43.3833,0.0673624,7.09669
2385,43.47,43.2136,0.324054,7.09716
2415,43.4465,43.1874,0.435034,7.10101
2424,43.437,43.1874,0.241921,7.10256
2440,43.4217,43.1904,0.199974,7.10507
2444,43.4173,43.1904,0.135001,7.10578
2479,43.4104,43.1904,0.102397,7.10691
2486,43.4034,43.1705,0.114774,7.10807
2566,43.3955,43.179,0.115562,7.10934
2576,43.3509,43.1848,0.0861179,7.11667
2693,43.3162,43.1796,0.0770526,7.12237
