0,3.50775,2.89955,0.407671,1.92848
1,3.40823,2.8983,0.343559,1.98479
4,3.39982,2.90925,0.478613,1.9897
7,3.33233,2.74847,0.454672,2.03
10,3.10757,2.59047,0.379371,2.17682
12,2.97132,2.74386,0.129542,2.27664
21,2.8797,2.72998,0.120704,2.34907
36,2.86989,2.66073,0.115069,2.35711
53,2.82661,2.61878,0.165416,2.3932
54,2.80968,2.57049,0.122529,2.40762
65,2.75838,2.58748,0.0763463,2.45239
77,2.72088,2.52954,0.0782071,2.48619
83,2.61995,2.52882,0.0756246,2.58197
85,2.60839,2.52954,0.0455657,2.59341
86,2.60624,2.46324,0.137293,2.59555
102,2.57703,2.51171,0.0653617,2.62497
198,2.57594,2.44032,0.0798798,2.62609
203,2.47637,2.35202,0.0778842,2.73167
210,2.47212,2.2723,0.160628,2.73637
218,2.45351,2.30197,0.158267,2.75712
229,2.42656,2.30108,0.114517,2.78775
248,2.4127,2.23633,0.116823,2.80376
256,2.40992,2.1825,0.182578,2.807
260,2.35783,2.1365,0.165048,2.86901
271,2.34459,2.1365,0.159374,2.8852
287,2.34075,2.23123,0.053046,2.88994
327,2.33451,2.17768,0.0615021,2.89767
330,2.28033,2.12868,0.0975026,2.96651
339,2.25843,2.10067,0.15409,2.99529
394,2.23247,2.13181,0.0993019,3.03011
432,2.18939,2.06361,0.10736,3.08973
505,2.18611,2.01276,0.135013,3.09437
529,2.15156,1.93995,0.208189,3.14406
539,2.14831,1.93995,0.139789,3.14882
548,2.13184,1.95215,0.084857,3.17314
555,2.01859,1.89837,0.136955,3.35117
590,1.99338,1.80266,0.146055,3.39354
600,1.96911,1.78741,0.160785,3.43537
639,1.9668,1.83063,0.158968,3.43941
688,1.96428,1.78234,0.172625,3.44382
743,1.95715,1.88222,0.128418,3.45638
835,1.94643,1.75469,0.138927,3.4754
840,1.94283,1.75105,0.129659,3.48184
898,1.93619,1.71373,0.180233,3.49379
906,1.90457,1.72659,0.259493,3.55179
907,1.89913,1.74133,0.144394,3.56197
929,1.89134,1.72667,0.247686,3.57663
1171,1.87347,1.7731,0.114122,3.61076
1195,1.87162,1.70538,0.148783,3.61432
1209,1.85435,1.70538,0.116656,3.64798
1261,1.8394,1.71732,0.0969922,3.67762
1262,1.78495,1.71732,0.0384797,3.78982
1328,1.77609,1.66269,0.122485,3.80871
1363,1.75807,1.66269,0.071242,3.84775
1373,1.75244,1.58974,0.132521,3.86012
1388,1.71185,1.58974,0.103683,3.95164
1418,1.68898,1.5302,0.225099,4.00515
2658,1.65804,1.62229,0.0250837,4.0799
2890,1.65461,1.52728,0.137777,4.08836
